username,status,followers,post_count,is_verified,post_1_likes,post_1_comments,post_2_likes,post_2_comments,post_3_likes,post_3_comments,post_4_likes,post_4_comments,post_5_likes,post_5_comments,post_6_likes,post_6_comments,post_7_likes,post_7_comments,post_8_likes,post_8_comments,post_9_likes,post_9_comments,post_10_likes,post_10_comments
janja_garnbret,success,955693.0,641.0,True,142027.0,735.0,75132.0,442.0,80817.0,405.0,29815.0,112.0,24823.0,110.0,27981.0,88.0,8195.0,22.0,11672.0,43.0,45163.0,119.0,24791.0,49.0
jakob.schubert,success,260677.0,994.0,True,35480.0,387.0,17321.0,122.0,28226.0,307.0,6651.0,14.0,2281.0,4.0,7022.0,13.0,3755.0,15.0,938.0,71.0,4528.0,16.0,8403.0,40.0
adam.ondra,success,1126021.0,1665.0,True,68685.0,930.0,28094.0,99.0,30327.0,254.0,4339.0,18.0,1983.0,5.0,7386.0,77.0,15524.0,42.0,19164.0,117.0,3869.0,7.0,2754.0,12.0
tomoa_narasaki,success,290768.0,581.0,True,7451.0,24.0,17655.0,49.0,7286.0,21.0,21479.0,27.0,10243.0,23.0,16009.0,44.0,1442.0,3.0,672.0,3.0,11276.0,18.0,18245.0,41.0
mihononaka,success,34.0,0.0,False,,,,,,,,,,,,,,,,,,,,
akiyo_noguchi,success,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
jessy_pilz,success,119986.0,582.0,True,33703.0,121.0,12610.0,84.0,1947.0,7.0,2575.0,12.0,2268.0,7.0,1989.0,7.0,4279.0,18.0,1844.0,3.0,4285.0,11.0,2528.0,7.0
alberto_gines_,failed,,,,,,,,,,,,,,,,,,,,,,,
ai_mori___,success,336.0,216.0,False,11.0,0.0,12.0,0.0,12.0,0.0,19.0,0.0,46.0,0.0,38.0,2.0,30.0,0.0,16.0,0.0,11.0,0.0,33.0,2.0
seanmccoll,success,108.0,29.0,False,,,,,,,,,,,,,,,,,,,,
brookeraboutou,success,466675.0,468.0,True,130565.0,1832.0,34187.0,119.0,11469.0,32.0,11374.0,45.0,28769.0,77.0,36806.0,195.0,6948.0,97.0,15728.0,57.0,26080.0,42.0,25754.0,102.0
shaunacoxsey,success,449113.0,2979.0,True,3056.0,17.0,5852.0,84.0,2702.0,10.0,3146.0,26.0,3157.0,20.0,1439.0,12.0,10274.0,50.0,2730.0,885.0,22347.0,99.0,3948.0,21.0
chonjongwon96,success,110612.0,492.0,True,7320.0,54.0,7064.0,55.0,2978.0,7.0,3117.0,20.0,6529.0,44.0,5818.0,18.0,4626.0,34.0,2684.0,4.0,2681.0,14.0,3765.0,12.0
petraklingler,success,73.0,3.0,False,22.0,0.0,25.0,3.0,12.0,3.0,,,,,,,,,,,,,,
mihononaka,success,34.0,0.0,False,,,,,,,,,,,,,,,,,,,,
anakverhoeven,failed,,,,,,,,,,,,,,,,,,,,,,,
steghiso,success,284164.0,3735.0,True,8149.0,80.0,32704.0,543.0,13777.0,95.0,5909.0,39.0,1302.0,7.0,5364.0,17.0,3751.0,16.0,1923.0,12.0,2306.0,16.0,4996.0,29.0
alexander.megos,failed,,,,,,,,,,,,,,,,,,,,,,,
laura.rogora,success,108224.0,666.0,True,11082.0,317.0,22852.0,291.0,6144.0,35.0,861.0,6.0,360.0,2.0,3767.0,35.0,439.0,4.0,358.0,5.0,2060.0,22.0,1388.0,3.0
fanny_gibert,failed,,,,,,,,,,,,,,,,,,,,,,,
kokoro_fujii,success,318.0,163.0,False,,,,,,,,,,,,,,,,,,,,
kai_harada,success,3.0,0.0,False,,,,,,,,,,,,,,,,,,,,
meichi_narasaki,success,46032.0,109.0,True,1932.0,10.0,1927.0,3.0,5228.0,26.0,5550.0,8.0,3138.0,13.0,5696.0,39.0,3060.0,8.0,3342.0,19.0,948.0,0.0,4146.0,2.0
janhojer,success,90986.0,391.0,True,960.0,2.0,701.0,3.0,1030.0,11.0,756.0,10.0,535.0,4.0,464.0,2.0,722.0,5.0,3419.0,16.0,776.0,6.0,3187.0,7.0
domen_skofic,success,44450.0,660.0,True,1191764.0,6196.0,18498.0,215.0,3596.0,76.0,458.0,0.0,811.0,3.0,1096.0,3.0,1414.0,17.0,1894.0,7.0,1088.0,2.0,622.0,8.0
ja_in_kim,failed,,,,,,,,,,,,,,,,,,,,,,,
anakverhoeven,failed,,,,,,,,,,,,,,,,,,,,,,,
mollyts,success,9.0,0.0,False,,,,,,,,,,,,,,,,,,,,
julia.chanourdie,failed,,,,,,,,,,,,,,,,,,,,,,,
saschalehmann_climbing,failed,,,,,,,,,,,,,,,,,,,,,,,
seobaechoon,failed,,,,,,,,,,,,,,,,,,,,,,,
